evid,Time,Latitude,Longitude,Depth,Magnitude
235,2021-03-02 23:28:56.970000,46.4532,13.1107,7.49,0.63
236,2021-03-02 23:54:41.320000,46.4517,13.109,7.1,0.64
237,2021-03-03 00:39:12.830000,46.4493,13.1115,6.76,0.58
238,2021-03-03 02:14:39.930000,46.4528,13.1108,8.18,1.14
239,2021-03-03 04:43:24.030000,46.4578,13.1125,8.84,0.87
240,2021-03-03 04:46:19.970000,46.455,13.1085,8.21,0.54
241,2021-03-03 05:44:11.040000,46.45,13.1153,8.11,0.4
242,2021-03-03 06:11:11.150000,46.4533,13.1145,8.36,0.88
243,2021-03-03 09:55:35.910000,46.4567,13.1107,9.15,1.42
244,2021-03-03 10:58:04.840000,46.4532,13.11,7.1,0.5
245,2021-03-03 13:36:10.890000,46.2975,13.6008,6.42,1.06
246,2021-03-03 14:35:47.140000,46.4548,13.1173,8.61,1.82
247,2021-03-03 15:31:38.050000,46.4552,13.1108,7.07,0.3
248,2021-03-03 16:42:45.020000,46.4527,13.1167,8.37,0.52
249,2021-03-03 18:45:31.470000,46.451,13.6043,1.56,0.63
250,2021-03-03 20:28:54.280000,45.7878,10.9873,10.22,1.93
251,2021-03-03 22:20:02.030000,46.0645,13.3835,9.5,0.56
252,2021-03-04 00:36:55.480000,46.3623,13.1087,3.4,0.67
253,2021-03-04 01:31:35.290000,46.2763,13.6627,4.36,0.71
254,2021-03-04 03:48:03.070000,46.4558,13.1145,8.24,0.89
255,2021-03-04 05:02:20.050000,46.3797,12.8353,10.78,1.2
256,2021-03-04 06:58:46.520000,46.453,13.105,8.22,0.76
257,2021-03-04 10:15:55.090000,46.4587,12.9565,13.14,0.8
258,2021-03-04 16:46:12.030000,46.478,13.0395,6.7,0.27
259,2021-03-04 18:51:20.950000,45.6705,14.3922,14.37,1.4
260,2021-03-05 09:15:18.080000,46.4542,13.1132,9.08,2.38
261,2021-03-05 10:48:36.900000,46.4547,13.1133,8.54,1.2
262,2021-03-05 17:29:12.080000,46.451,13.1122,8.36,0.73
263,2021-03-06 14:14:57.350000,45.662,11.386,10.07,1.4
264,2021-03-06 15:22:45.630000,46.4577,13.3802,4.08,0.86
265,2021-03-06 20:20:28.050000,45.2175,14.5182,9.45,2.13
266,2021-03-07 11:21:46.030000,45.8395,10.6498,9.79,0.72
267,2021-03-07 16:57:36.370000,46.219,13.6215,11.39,0.96
268,2021-03-07 22:28:44.560000,46.2513,13.56,13.12,1.12
269,2021-03-08 16:27:23.700000,46.752,10.5113,7.14,1.47
270,2021-03-08 19:11:29.200000,46.6145,10.4867,3.78,0.93
271,2021-03-08 20:56:16.410000,46.2297,12.7738,9.6,1.28
272,2021-03-09 02:07:26.310000,46.2423,12.766,9.48,0.85
273,2021-03-09 19:27:29.220000,46.273,12.9807,4.22,1.01
274,2021-03-10 01:51:01.160000,46.404,12.976,5.67,0.82
275,2021-03-10 15:50:15.820000,46.1895,12.565,10.39,0.88
276,2021-03-10 15:58:10.950000,46.4738,13.5043,5.21,0.67
277,2021-03-10 22:09:02.860000,46.4782,13.073,8.85,0.63
278,2021-03-10 23:26:15.090000,46.4487,13.3888,3.09,0.89
279,2021-03-11 01:01:47.490000,46.199,12.5467,6.06,1.02
280,2021-03-11 03:34:59.160000,46.3458,12.3657,6.75,2.21
281,2021-03-11 03:37:13.890000,46.3737,12.3498,2.38,0.52
282,2021-03-11 06:02:47.670000,46.341,12.4153,8.6,0.84
283,2021-03-11 08:08:36.660000,46.0488,11.8208,6.74,0.96
